name,model,brand,price,mileage,url
2019 Volkswagen e-Golf,e-Golf,Volkswagen,17990,22281,https://www.carvana.com/vehicle/3501941
2019 BMW X1,X1,BMW,20590,61355,https://www.carvana.com/vehicle/3530549
2024 Nissan Versa,Versa,Nissan,17990,20333,https://www.carvana.com/vehicle/3563722
2020 Mercedes-Benz C-Class,C-Class,Mercedes-Benz,28590,15805,https://www.carvana.com/vehicle/3566515
2018 Ford EcoSport,EcoSport,Ford,14590,63957,https://www.carvana.com/vehicle/3543929
2023 Hyundai Sonata,Sonata,Hyundai,20990,40230,https://www.carvana.com/vehicle/3576433
2019 Jeep Renegade,Renegade,Jeep,18990,29047,https://www.carvana.com/vehicle/3578732
2022 Buick Envision,Envision,Buick,22590,27632,https://www.carvana.com/vehicle/3453185
2019 Mercedes-Benz A-Class,A-Class,Mercedes-Benz,23990,48195,https://www.carvana.com/vehicle/3558211
2018 Jaguar XE,XE,Jaguar,16990,74688,https://www.carvana.com/vehicle/3521107
2019 Ford EcoSport,EcoSport,Ford,17590,31766,https://www.carvana.com/vehicle/3537709
2023 Buick Envision,Envision,Buick,24590,38347,https://www.carvana.com/vehicle/3533829
2023 Hyundai Elantra,Elantra,Hyundai,20990,39732,https://www.carvana.com/vehicle/3453742
2018 Mercedes-Benz CLA,CLA,Mercedes-Benz,22590,39846,https://www.carvana.com/vehicle/3533390
2023 Kia Forte,Forte,Kia,18990,26477,https://www.carvana.com/vehicle/3497887
2023 Nissan Kicks,Kicks,Nissan,19990,11294,https://www.carvana.com/vehicle/3578650
2024 Toyota Tacoma Double Cab,Tacoma Double Cab,Toyota,39990,12415,https://www.carvana.com/vehicle/3485940
2022 Dodge Charger,Charger,Dodge,22990,44288,https://www.carvana.com/vehicle/3537898
2016 Buick Encore,Encore,Buick,18990,17688,https://www.carvana.com/vehicle/3537669
2021 Ford EcoSport,EcoSport,Ford,17590,40471,https://www.carvana.com/vehicle/3507501
2024 Kia Soul,Soul,Kia,18590,24828,https://www.carvana.com/vehicle/3405485
2023 Nissan Kicks,Kicks,Nissan,21590,818,https://www.carvana.com/vehicle/3530725
2020 Hyundai Kona,Kona,Hyundai,18990,35237,https://www.carvana.com/vehicle/3550791
2020 Hyundai Kona,Kona,Hyundai,19590,28807,https://www.carvana.com/vehicle/3565903
2013 Honda CR-V,CR-V,Honda,18990,46337,https://www.carvana.com/vehicle/3565235
2022 MINI Hardtop 2 Door,Hardtop 2 Door,MINI,21590,22163,https://www.carvana.com/vehicle/3555975
2019 BMW X1,X1,BMW,20990,60144,https://www.carvana.com/vehicle/3532932
2020 Dodge Journey,Journey,Dodge,19590,28165,https://www.carvana.com/vehicle/3446125
2020 Kia Soul,Soul,Kia,15990,36576,https://www.carvana.com/vehicle/3471848
2017 Jeep Renegade,Renegade,Jeep,14990,55564,https://www.carvana.com/vehicle/3525193
2016 Mercedes-Benz C-Class,C-Class,Mercedes-Benz,18990,56015,https://www.carvana.com/vehicle/3590771
2023 Nissan Kicks,Kicks,Nissan,19590,15536,https://www.carvana.com/vehicle/3570766
2015 MINI Hardtop 2 Door,Hardtop 2 Door,MINI,15990,37523,https://www.carvana.com/vehicle/3540686
2017 Mercedes-Benz C-Class,C-Class,Mercedes-Benz,25590,30832,https://www.carvana.com/vehicle/3568333
2022 Mercedes-Benz A-Class,A-Class,Mercedes-Benz,26990,41821,https://www.carvana.com/vehicle/3498664
2024 Nissan Rogue,Rogue,Nissan,22990,32389,https://www.carvana.com/vehicle/3548655
2024 Dodge Hornet,Hornet,Dodge,29590,4728,https://www.carvana.com/vehicle/3571154
2023 Tesla Model 3,Model 3,Tesla,27990,14592,https://www.carvana.com/vehicle/3298897
2021 Mercedes-Benz CLA,CLA,Mercedes-Benz,28590,47575,https://www.carvana.com/vehicle/3563680
2017 Jeep Cherokee,Cherokee,Jeep,14990,80942,https://www.carvana.com/vehicle/3580765
2013 Ford Mustang,Mustang,Ford,14990,101132,https://www.carvana.com/vehicle/3572604
2021 Nissan Kicks,Kicks,Nissan,16990,39435,https://www.carvana.com/vehicle/3448765
2024 Nissan Sentra,Sentra,Nissan,20590,21988,https://www.carvana.com/vehicle/3403656
2019 Chevrolet Trax,Trax,Chevrolet,13590,87992,https://www.carvana.com/vehicle/3391273
2021 Nissan Rogue Sport,Rogue Sport,Nissan,18990,55732,https://www.carvana.com/vehicle/3583998
2022 BMW 5 Series,5 Series,BMW,35590,18333,https://www.carvana.com/vehicle/3538506
2017 Lincoln MKZ,MKZ,Lincoln,18990,43179,https://www.carvana.com/vehicle/3476260
2021 Nissan Sentra,Sentra,Nissan,16990,73161,https://www.carvana.com/vehicle/3560891
2018 Ford Mustang,Mustang,Ford,17590,92917,https://www.carvana.com/vehicle/3499991
2015 INFINITI Q50,Q50,INFINITI,16990,79769,https://www.carvana.com/vehicle/3525706
2020 Mercedes-Benz GLA,GLA,Mercedes-Benz,22590,55892,https://www.carvana.com/vehicle/3537519
2019 Kia Rio,Rio,Kia,15990,32583,https://www.carvana.com/vehicle/3419806
2017 Mercedes-Benz C-Class,C-Class,Mercedes-Benz,21990,62465,https://www.carvana.com/vehicle/3553901
2018 Ford EcoSport,EcoSport,Ford,14790,72215,https://www.carvana.com/vehicle/3528470
2019 MINI Hardtop 2 Door,Hardtop 2 Door,MINI,16590,63176,https://www.carvana.com/vehicle/3580606
2023 Toyota bZ4X,bZ4X,Toyota,28990,13064,https://www.carvana.com/vehicle/3576267
2024 Toyota Prius,Prius,Toyota,28590,14194,https://www.carvana.com/vehicle/3488094
2017 Jeep Renegade,Renegade,Jeep,15990,67030,https://www.carvana.com/vehicle/3566445
2020 BMW X2,X2,BMW,26590,20053,https://www.carvana.com/vehicle/3579507
2022 Nissan Kicks,Kicks,Nissan,18990,25574,https://www.carvana.com/vehicle/3538488
2023 Nissan Sentra,Sentra,Nissan,19590,31125,https://www.carvana.com/vehicle/3399044
2019 Hyundai Veloster,Veloster,Hyundai,15990,81023,https://www.carvana.com/vehicle/3428566
2020 Chevrolet Sonic,Sonic,Chevrolet,13790,84852,https://www.carvana.com/vehicle/3482986
2020 Toyota Corolla,Corolla,Toyota,21990,35060,https://www.carvana.com/vehicle/3573505
2020 Chevrolet Trax,Trax,Chevrolet,15990,67900,https://www.carvana.com/vehicle/3512374
2017 Jeep Renegade,Renegade,Jeep,14790,84562,https://www.carvana.com/vehicle/3468230
2016 Ford Focus,Focus,Ford,11290,60796,https://www.carvana.com/vehicle/3377686
2020 Kia Soul,Soul,Kia,18590,19255,https://www.carvana.com/vehicle/3566577
2018 Ford Focus,Focus,Ford,14590,70378,https://www.carvana.com/vehicle/3563593
2020 Ford EcoSport,EcoSport,Ford,16990,70015,https://www.carvana.com/vehicle/3578094
2016 Ford Edge,Edge,Ford,17990,47321,https://www.carvana.com/vehicle/3550724
2021 Hyundai Elantra,Elantra,Hyundai,19990,49426,https://www.carvana.com/vehicle/3480785
2024 Hyundai IONIQ 6,IONIQ 6,Hyundai,39990,3087,https://www.carvana.com/vehicle/3590658
2018 Jeep Wrangler Unlimited,Wrangler Unlimited,Jeep,22590,77725,https://www.carvana.com/vehicle/3525943
2023 Nissan Rogue,Rogue,Nissan,22590,26684,https://www.carvana.com/vehicle/3558136
2017 BMW 3 Series,3 Series,BMW,18590,53288,https://www.carvana.com/vehicle/3405715
2016 Volkswagen e-Golf,e-Golf,Volkswagen,10990,66255,https://www.carvana.com/vehicle/3161336
2024 Honda Civic,Civic,Honda,28990,3231,https://www.carvana.com/vehicle/3578950
2019 Jeep Cherokee,Cherokee,Jeep,16990,71292,https://www.carvana.com/vehicle/3517724
2015 Toyota Corolla,Corolla,Toyota,15990,71117,https://www.carvana.com/vehicle/3525899
2024 Chevrolet Trax,Trax,Chevrolet,23990,13567,https://www.carvana.com/vehicle/3498134
2023 Subaru WRX,WRX,Subaru,31590,18980,https://www.carvana.com/vehicle/3575442
2018 Jeep Cherokee,Cherokee,Jeep,17590,65937,https://www.carvana.com/vehicle/3517266
2024 Chevrolet Malibu,Malibu,Chevrolet,19990,16516,https://www.carvana.com/vehicle/3583402
2021 Kia Soul,Soul,Kia,16590,38608,https://www.carvana.com/vehicle/3511804
2015 BMW 4 Series,4 Series,BMW,22590,35588,https://www.carvana.com/vehicle/3573329
2018 Chevrolet Trax,Trax,Chevrolet,13990,91234,https://www.carvana.com/vehicle/3452508
2019 Jeep Cherokee,Cherokee,Jeep,17590,64658,https://www.carvana.com/vehicle/3529453
2018 Ford EcoSport,EcoSport,Ford,14790,84368,https://www.carvana.com/vehicle/3512066
2016 BMW i3,i3,BMW,14790,65255,https://www.carvana.com/vehicle/3372352
2019 Nissan Sentra,Sentra,Nissan,13790,73371,https://www.carvana.com/vehicle/3575674
2014 Audi A7,A7,Audi,19590,67559,https://www.carvana.com/vehicle/3483498
2017 Toyota Prius,Prius,Toyota,19990,71821,https://www.carvana.com/vehicle/3577929
2023 Jeep Renegade,Renegade,Jeep,22990,25148,https://www.carvana.com/vehicle/3584308
2019 MAZDA CX-5,CX-5,MAZDA,20990,63899,https://www.carvana.com/vehicle/3576344
2016 Honda Accord,Accord,Honda,25590,19294,https://www.carvana.com/vehicle/3565578
2016 Jeep Renegade,Renegade,Jeep,15990,55604,https://www.carvana.com/vehicle/3536522
2020 Chevrolet Spark,Spark,Chevrolet,14990,42218,https://www.carvana.com/vehicle/3568128
2023 Ford Edge,Edge,Ford,23990,43020,https://www.carvana.com/vehicle/3558826
2015 Toyota Prius,Prius,Toyota,16990,73535,https://www.carvana.com/vehicle/3577966
2016 Lincoln MKZ,MKZ,Lincoln,13990,97336,https://www.carvana.com/vehicle/3343644
2017 Hyundai Elantra GT,Elantra GT,Hyundai,13990,71330,https://www.carvana.com/vehicle/3565358
2013 Audi A4,A4,Audi,13990,75029,https://www.carvana.com/vehicle/3538080
2021 BMW 2 Series,2 Series,BMW,25990,25265,https://www.carvana.com/vehicle/3575737
2020 Chevrolet Spark,Spark,Chevrolet,14290,40303,https://www.carvana.com/vehicle/3462567
2023 Chevrolet Malibu,Malibu,Chevrolet,19990,28404,https://www.carvana.com/vehicle/3458068
2022 Kia Soul,Soul,Kia,15990,65775,https://www.carvana.com/vehicle/3445910
2018 GMC Terrain,Terrain,GMC,18990,58860,https://www.carvana.com/vehicle/3566550
2024 Subaru Impreza,Impreza,Subaru,25990,5575,https://www.carvana.com/vehicle/3556320
2017 GMC Terrain,Terrain,GMC,15590,84810,https://www.carvana.com/vehicle/3558977
2019 BMW i3,i3,BMW,20590,36888,https://www.carvana.com/vehicle/3517640
2019 Volkswagen Jetta,Jetta,Volkswagen,17990,9767,https://www.carvana.com/vehicle/3425710
2018 Mercedes-Benz CLA,CLA,Mercedes-Benz,23990,22214,https://www.carvana.com/vehicle/3565297
